id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
53031a4d-38d2-45ae-a07d-c2e3e2ced429,2e59e889d9ff498a0ffac67bf5c48830583e7633f18eea79c79621560ac9d45c,2023-05-31 02:49:32.146,20230531024931_nueva_col_en_orden,,,2023-05-31 02:49:31.869,1
862b692c-e07f-48d5-aa1b-521caf331622,682c4e999835df9e26306d2175b372721d3a2c2f13e3872d40ec693df082ff70,2023-05-30 03:58:30.460,20230530035438_ordenes,,,2023-05-30 03:58:30.358,1
a83aa27a-621b-4d70-beb7-8a43ecde16af,8b97eb7de68bf067436cc902116c262b0e9a056023c06f5aa7b4a75e1e27b239,2023-05-30 03:58:30.357,20230530035226_productos_categorias,,,2023-05-30 03:58:29.939,1
